id,lat,lon,city,iata,size
6114,41.50857729743934,-108.984375,Rock Springs,RKS,4
6152,33.43144133557529,-104.4140625,Roswell,ROW,4
6202,32.84267363195431,-109.6875,Safford,SAD,4
6244,61.77312286453147,-165.5859375,Scammon Bay,SCM,4
6264,47.754097979680026,-104.0625,Sidney,SDY,4
6315,44.84029065139799,-106.875,Sheridan,SHR,4
6316,57.13623931917742,-170.15625,St. Paul Island,SNP,4
6328,34.30714385628804,-110.0390625,Show Low,SOW,4
6342,34.016241889667015,-98.4375,Wichita Falls,SPS,4
6359,61.77312286453147,-156.4453125,Stony River,SRV,4
6379,45.58328975600631,-94.21875,St. Cloud,STC,4
6429,36.03133177633188,-97.03125,Stillwater,SWO,4
6435,62.59334083012024,-164.8828125,Sheldon Point,SXP,4
6519,60.930432202923335,-146.6015625,Tatitlek,TEK,4
6578,61.10078883158897,-161.015625,Tuluksak,TLT,4
6599,60.586967342258674,-165.234375,Tununak,TNK,4
6677,47.98992166741418,-96.328125,Thief River Falls,TVF,4
6685,42.55308028895581,-114.609375,Twin Falls,TWF,4
6687,33.43144133557529,-93.8671875,Texarkana,TXK,4
6695,32.249974455863295,-95.2734375,Tyler,TYR,4
6811,28.92163128242129,-97.03125,Victoria,VCT,4
6818,61.10078883158897,-146.25,Valdez,VDZ,4
6926,55.97379820507658,-130.078125,Hyder,WHD,4
6942,66.65297740055279,-159.9609375,Selawik,WLK,4
6957,60.759159502269895,-162.0703125,Napakiak,WNA,4
6993,60.413852350464914,-162.7734375,Tuntutuliak,WTL,4
7010,60.759159502269895,-164.53125,Newtok,WWT,4
7131,49.1529696561704,-125.859375,Tofino,YAZ,4
7136,59.5343180010956,-108.6328125,Uranium City,YBE,4
7143,49.83798245308484,-125.15625,Campbell River,YBL,4
7149,49.83798245308484,-99.84375,Brandon,YBR,4
7151,52.268157373768176,-97.03125,Berens River,YBV,4
7161,49.38237278700955,-117.7734375,Castlegar,YCG,4
7196,51.83577752045248,-96.6796875,Bloodvein River,YDV,4
7239,54.572061655658516,-94.5703125,Gods Lake Narrows,YGO,4
7264,49.38237278700955,-123.75,Sechelt,YHS,4
7292,46.55886030311718,-120.5859375,Yakima,YKM,4
7305,63.07486569058663,-117.0703125,Lac La Martre,YLE,4
7361,54.977613670696265,-95.2734375,Oxford House,YOH,4
7362,58.631216643424786,-117.0703125,High Level,YOJ,4
7386,54.36775852406839,-130.4296875,Prince Rupert,YPR,4
7389,49.83798245308484,-124.453125,Powell River,YPW,4
7402,49.83798245308484,-94.21875,Kenora,YQK,4
7403,49.61070993807421,-112.8515625,Lethbridge,YQL,4
7416,64.16810689799152,-117.421875,Gameti,YRA,4
7432,54.1624339680678,-93.515625,Red Sucker Lake,YRS,4
7441,62.431074232920906,-110.7421875,Lutselke,YSG,4
7452,53.74871079689898,-94.921875,St. Theresa Point,YST,4
7517,50.06419173665909,-123.046875,Whistler,YWS,4
7524,50.06419173665909,-110.7421875,Medicine Hat,YXH,4
7541,54.77534585936448,-127.265625,Smithers,YYD,4
7542,58.81374171570781,-122.6953125,Fort Nelson,YYE,4
7566,53.33087298301705,-131.8359375,Sandspit,YZP,4
7569,50.73645513701065,-127.265625,Port Hardy,YZT,4
7596,52.268157373768176,-128.3203125,Bella Bella,ZEL,4
7635,53.9560855309879,-132.1875,Masset,ZMT,4
7703,36.03133177633188,-113.90625,Grand Canyon West,GCW,4
7767,57.891497352710324,-136.40625,Pelican,PEC,4
7832,62.75472592723179,-159.609375,Shageluk,SHX,4
7866,25.482951175355314,-100.8984375,Saltillo,SLW,4
8075,64.16810689799152,-113.90625,Wekweeti,YFJ,4
8091,34.885930940753155,-120.5859375,Santa Maria,SMX,4
8106,31.353636941500994,-100.546875,San Angelo,SJT,4
8109,61.77312286453147,-157.1484375,Sleetmute,SLQ,4
8120,49.1529696561704,-117.7734375,Trail,YZZ,4
8442,15.623036831528259,-88.59375,Puerto Barrios,PBR,4
8726,55.57834467218205,-132.5390625,Kasaan,KXA,4
8727,55.77657301866768,-132.1875,Meyers Chuck,WMK,4
8963,36.3151251474805,-105.1171875,Angel Fire,AXX,4
558,67.06743335108297,-157.8515625,Ambler,ABL,4
622,31.353636941500994,-92.4609375,Alexandria,AEX,4
645,57.51582286553883,-134.6484375,Angoon,AGN,4
1124,47.5172006978394,-122.34375,Seattle,BFI,4
1190,37.43997405227058,-118.4765625,Bishop,BIH,4
1228,65.94647177615738,-161.015625,Buckland,BKC,4
1382,40.713955826286046,-91.0546875,Burlington,BRL,4
1424,46.07323062540836,-112.5,Butte,BTM,4
1430,66.93006025862447,-151.5234375,Bettles,BTT,4
